offer_names,offer_descriptions,offer_codes
20% OFF up to ₹200 using AmpliFi Fi Federal Credit Card,Save ₹200 with this code,AMPLIFIFOOD
10% OFF up to ₹150 using Standard Chartered DigiSmart Credit Card,Save ₹150 with this code,DIGISMART
Flat ₹150 OFF using select Yes Bank Debit Card ,Save ₹150 with this code,YES150
20% up to ₹125 OFF using DBS Bank Credit Card,Save ₹125 with this code,DBSFUNCC
20% up to ₹125 OFF using DBS Bank Debit Card,Save ₹125 with this code,DBSFUNDC
10% OFF up to ₹100 using IDFC FIRST SWYP Credit Card,Save ₹100 with this code,IDFCSWYP
10% OFF up to ₹100 using IDFC FIRST SWYP Credit Card,Save ₹125 with this code,DBSFUNDC
Flat ₹100 OFF using Yes Bank Debit Card ,Save ₹100 with this code,IDFCSWYP
20% OFF up to ₹100 using Utkarsh Bank Debit Cards,Save ₹100 with this code,YES100
Flat ₹100 OFF using Yes Bank Debit Card ,Save ₹100 with this code,YES100
20% OFF up to ₹100 using Utkarsh Bank Debit Cards,Save ₹100 with this code,UTKARSHCRAVINGS
10% OFF up to ₹100 using Federal Bank Credit Cards,Save ₹100 with this code,FEDERALFUNCC
Flat ₹100 OFF using AU Small Finance Bank Ivy Debit Cards,Save ₹100 with this code,AUIVY
Flat ₹100 OFF using Amex IndusInd Epay Card,Save ₹100 with this code,AMEXEPAY
